房屋标题,简述,浏览量,房屋总价,元/平,房屋户型,房本面积,房屋朝向,所在楼层,装修情况,产权年限,建筑年代,核心卖点,业主心态,服务介绍,核验编码,参考首付,小区均价,所在商圈,物业费,容积率,绿化率,车位信息,室,厅,卫,房屋朝向num,楼层高低num,楼层层数num,装修情况num,产权年限num,建筑年代num,参考首付num,月供num,小区均价num,所在商圈1num,所在商圈2num,recommend0,recommend1,recommend2,recommend3,recommend4,recommend5,recommend6,recommend7,recommend8,recommend9
大芬地铁口笋房 环境优雅 装修维护全面 桂芳园五期 有钥匙,大芬地铁口笋房 环境优雅 装修维护全面 桂芳园五期 有钥匙;售价：415万元（46739元/㎡）；房贷：首付约124万月供约（15444元）；产权：商品房（70年产权）2005年建；类型：普通住宅 板楼 中层/共15层；装修：简单装修朝东南；,29,415.0,46739,3室2厅2卫,88.79,东南,中层/共15层,简单装修,70年,2005年,您购买此房的理由：（一）此房特点优势：此房我亲自看了，有效；业主急用钱，所以诚心出售此房，绝不会您来了看不了房，并且近期不会随意涨价。（二）户型优势：小区非常的不错户型：使用率高，享受更大实用空间。（三）装修优势：房子装修后维护的非常好，一直空闲，所有物品使用的都非常珍惜，一进屋的感觉简约时尚，处处透着大方，开发商装修时每个环节都检查的很仔细，把一个整洁、放心的交给您。（四）价钱优势：。此地位于繁华地段，而且环境超棒，真可谓进可繁华，退可宁静。（五）较其他小区绿化面积较多，居住舒适度高,房主诚意售房！ 因回笼资金，所以出售此房。房源本身没有任何问题！此房价格合理，低于市价。当时业主买的是新房，业主是要换房子，所以出售此房子，业主诚意出售，对自己的房子很爱惜也很不舍，所以希望找到诚心诚意的客户，所以有缘看到我的帖子可以给我打电话！,经纪人服务：有钥匙收取服务费：最高103750元(≤2.5%)本人专业从事房地产经纪公司有大量好房源，欢迎进入我的店铺查看，欢迎随时电话咨询一九九二四五七九九七三，相信我的专业，为您置业安家保驾护航。,深圳市城乡房产管理局：暂未完成认证,124.5万（月供11911元/月）,42761.0元/㎡,布吉－大芬,1.80元/平米/月,2.25,50.0,110,3,2,2,9,2,15,2,70,2005,124,11911,42761,3,82,340,336,232,107,13,217,397,365,354,11
龙岗布吉丹竹头地铁站豪装三房 降价20万急售 红本在手过户快,龙岗布吉丹竹头地铁站豪装三房 降价20万急售 红本在手过户快;售价：120万元（15000元/㎡）；房贷：首付约35万月供约（4511元）；产权：商品房（70年产权）2013年建；类型：普通住宅 板楼 中层/共18层；装修：精装修朝南；,201,120.0,15000,3室2厅2卫,80.0,南,中层/共18层,精装修,70年,2013年,核心卖点1、价格：业主自住，翻新装修过，保养很好，带部分家私电器，价格还可协商。2、产权：一手房东，产权清晰，无纠纷，可放心购买。3、房源：此房户型方正，客厅出阳台，采光通风好，不靠街，视野开阔无挡。4、教学：周边6所学校，让您的小孩赢在起点。5、理由：小区周边配套成熟，出门就有地铁公交站、惠民医院、社康中心，嘉荣超市，华润万家，靠近高速口，购物出行也很方便。,业主工作调动，在龙岗实验学校那边买了一套房子，已经装修好了，马上就要搬过去住了，小孩也要到那边上学，决定把这套房子卖掉，业主是诚心实意的想要卖房子的。,收取服务费：最高6000元(≤0.5%)本人从事房地产多年，公司有大量好房源，欢迎随时电话咨询，相信我的专业，为您置业安家保驾护航。,深圳市城乡房产管理局：暂未完成认证,36万（月供3445元/月）,14907.0元/㎡,布吉－布吉街,1.50元/平米/月,3.5,20.0,配备有大型地下停车厂,3,2,2,4,2,18,3,70,2013,36,3445,14907,3,21,178,5,154,50,109,316,51,42,43,247
美丽365精装大三房，满5唯一少个税，业主现在换房急售。,美丽365精装大三房，满5唯一少个税，业主现在换房急售。;售价：380万元（44170元/㎡）；房贷：首付约113万月供约（14170元）；产权：商品房（70年产权）2015年建；类型：普通住宅 板楼 中层/共8层；装修：精装修朝南；,35,380.0,44170,3室2厅2卫,86.03,南,中层/共8层,精装修,70年,2015年,地铁口，龙华二小，美丽365精装复式，拎包入住房子位置安静，绿化率高，花园中心位置，小区环境好，房子为顶楼复式，前后视野开阔。大，带平台花园。房子户型方正实用，通风采光好，业主诚心出售装修描述：房子是居家的新装修，业主一直自住，拎包入住。,每天和业主先生通了电话，还是老样子，非常诚心卖的，看房也有钥匙。属于三推房源，成交了我不求业绩，只为帮业主卖房。,经纪人服务：有钥匙、免费保洁一次收取服务费：最高19000元(≤0.5%)公司：我们乐有家房产是一家有责任心有实力的公司，我们承诺绝不拿差价，一旦发现双倍赔偿。物业欠费先行垫付，签前查封先行垫付。房屋交易繁杂，买房更是要慎重，慎之又慎。为了您能开开心心的买到心仪的房子，现在请您让专业的我来为您排忧解难吧！叫客户放心，满意的买到喜欢的新房。这是我的使命个人：本人熟悉深圳、东莞、惠州的新房，二手房，本人全年无休，随时准备着。本人对于周边房源熟悉，目前有多套较为不错的房源，如果此房源不符合您的要求，欢迎与本人联系，祝您事业顺心，早日找到合适房源！,深圳市城乡房产管理局：暂未完成认证,114万（月供10907元/月）,43548.0元/㎡,龙华新区－美丽365花园,1.00元/平米/月,2.0,60.0,"2:1,地下车位600个，地面1500个",3,2,2,4,2,8,3,70,2015,114,10907,43548,10,64,355,162,217,168,340,274,131,354,87,397
"坪山高铁旁,双地铁口,财富城,一手现房,入读实验,恒大城对面","坪山高铁旁,双地铁口,财富城,一手现房,入读实验,恒大城对面;售价：300万元（33707元/㎡）；房贷：首付约89万月供约（11198元）；产权：商品房（70年产权）2018年建；类型：普通住宅 板楼 低层/共39层；装修：毛坯朝南；",40,300.0,33707,3室2厅2卫,89.0,南,低层/共39层,毛坯,70年,2018年,"核心卖点【财富城】深圳罕见150万大盘火爆来袭一期产品为89-140㎡(3-5房).实用户型。现房发售88㎡,三房两厅两卫,东南看小区广场游泳池。89㎡,四房两厅两卫,南北通透，采光明亮，冬暖夏凉。141㎡,五房两厅两卫,南北通透，采光，前后无遮挡，客厅开间5米，阳台8米长，景观好【小区定位】小区定位为坪山豪宅标杆，楼盘的品质与用材用料都属于坪山领域，设计有港湾式社区大堂，按照五酒店大堂标准打造二、项目卖点【文化】项目东面300米规划在建文化六馆（图书馆、展览馆、书城、剧院、美术馆、文化），预计2020年投入使用",这是开发商的一手新房，没有其它费用，比二手房省几十万的税费。,经纪人服务：有钥匙、免费保洁一次收取服务费：最高0元(≤0%)真诚正义先人后己，交易阳光透明，欢迎随时来电,深圳市城乡房产管理局：暂未完成认证,90万（月供8611元/月）,36847.0元/㎡,坪山新区－坪山,3.90元/平米/月,4.98,40.0,3套在租,3,2,2,4,3,39,1,70,2018,90,8611,36847,1,11,86,389,314,135,201,160,235,369,332,300
深圳北万众城，卓能雅苑湖景花园，水系园林安静舒适，使用率高,深圳北万众城，卓能雅苑湖景花园，水系园林安静舒适，使用率高;售价：360万元（47656元/㎡）；房贷：首付约107万月供约（13427元）；产权：商品房（70年产权）2017年建；类型：普通住宅 板楼 中层/共18层；装修：毛坯朝南；,20,360.0,47656,2室2厅1卫,75.54,南,中层/共18层,毛坯,70年,2017年,房源亮点：卓能雅苑小区采用水系园林设计，园林景观非常不错，小区户型都是错层设计，能保障每一层的采光不收影响，旁边不远就是梅观高速入口，小区内部有幼儿园，儿童游乐场所，游泳池，篮球场等，小区采用地下停车，人车分流，安全系数高，地下停车场有新能源汽车充电桩等基础设施户型简介：该房源是户型方正的大两房，主卧出阳台，客厅带飘窗，赠送入户花园，入户花园可以改成房间，做成2 1房使用，使用率高。装修描述：该房源目前是毛坯状态，买过来可以按照自己喜欢的风格装修，房子通风采光非常好。,该房源业主因为公司在南山，回来居住不方便，现在小孩快要入学了，所以想尽快出手此房源，回笼资金到南山买一套学位房,收取服务费：最高18000元(≤0.5%)本人专注于房地产行业，只为给您一个温馨的家。真诚正义先人后己是公司的核心价值观，为您真诚到永远也是我不变的信条我不是一个人在战斗，，我们是一个团队在为您服务；给我一次机会，还您百倍顺心,深圳市城乡房产管理局：暂未完成认证,108万（月供10333元/月）,52831.0元/㎡,龙华新区－民治,3.50元/平米/月,2.33,35.0,1054个,2,2,1,4,2,18,1,70,2017,108,10333,52831,10,9,370,146,276,254,136,87,191,165,274,24
地铁口海滨实验可用，花园小区高楼层电梯2房，客厅出阳台,地铁口海滨实验可用，花园小区高楼层电梯2房，客厅出阳台;售价：480万元（65961元/㎡）；房贷：首付约143万月供约（17885元）；产权：商品房（70年产权）2002年建；类型：普通住宅 板楼 高层/共18层；装修：精装修朝北；,39,480.0,65961,2室2厅1卫,72.77,北,高层/共18层,精装修,70年,2002年,房源优势：1、户型简介正规2房，户型方正，客厅出阳台看小区花园安静，使用率高达88.7%； 2、税费解析满5年非惟一，红本在手；3、学.校优势南山排名前六的海滨实验小.学和荔香中.学；4、小区优势位于地铁站100米处，闹中取静的花园式小区，自带游泳池、健身场所，住家享受；,业主想要换房子，诚心出售，欢迎看房，随时恭候您的到来。,经纪人服务：免费保洁一次收取服务费：最高38400元(≤0.8%)乐有家小窦，以简单真诚，阳光透明为主，为客户业主提供的服务，我们真房源真服务，是行业内惟一敢承诺不吃差价的公司；本人扎根南头，南山中心区将近3年，附近的房子都非常熟悉，您需要哪里的房子时间给您匹配性价比高的房子；,深圳市城乡房产管理局：暂未完成认证,144万（月供13777元/月）,69029.0元/㎡,南山－南头,2.80元/平米/月,3.2,45.0,217个车位。：室内200.00元/月 室外100.00元/月,2,2,1,8,1,18,3,70,2002,144,13777,69029,11,10,272,2,283,346,333,125,165,184,191,254
深圳低门槛上车盘，首付80万，迈出人生启航线，价格惊爆你眼球,深圳低门槛上车盘，首付80万，迈出人生启航线，价格惊爆你眼球;售价：230万元（32485元/㎡）；房贷：首付约68万月供约（8598元）；产权：商品房（70年产权）2018年建；类型：普通住宅 板楼 中层/共32层；装修：精装修朝南；,195,230.0,32485,2室2厅1卫,70.8,南,中层/共32层,精装修,70年,2018年,1大运宝荷片区，71平2房，价约240万左右2板楼设计，南北通透，2梯4户，高拓展户型，地铁口300米顺泽阳光公馆，【在卖户型，54-89㎡小户，板楼设计。南北通透。54平方一房一厅，71两房两厅，89平3房两厅。使用率80。（2000每平方装修标准）】,一手新房即将开盘，开盘前下诚意金，优惠更多，备案价3.5万 ，【房源属实，请详情。为了节省您的时间，需要看房的客户需提前预约哟】,"经纪人服务：有钥匙、免费保洁一次收取服务费：最高0元(≤0%)经纪人服务：有钥匙、免费保洁一次收取：0元(≤0%)【跟我们一起买与直接去买有哪些区别】1、开发商付给我们的费用是广告费用中的一部分，与房子的价格没有任何关系,相当于广告费，因为我的销/售渠道比较多；。2、成交价直接影响售楼员的晋升，售楼员是不会给您底价，但我们可以给您底价，甚至更低的折扣。3、您一个人是买一套，和我们一起是团购，其实就是＂零/售＂和＂批/发＂的概念．而且可以看多个楼盘，优势不言而喻。",深圳市城乡房产管理局：暂未完成认证,69万（月供6600元/月）,33728.0元/㎡,龙岗区－龙岗中心城,0.00元/平米/月,0.0,0.0,1套在租,2,2,1,4,2,32,3,70,2018,69,6600,33728,8,32,241,128,119,98,351,126,74,22,366,330
58 热 搜 房，45万真的可以买到地铁口物业 自带燃气到户,58 热 搜 房，45万真的可以买到地铁口物业 自带燃气到户;售价：88万元（16000元/㎡）；房贷：首付约45万月供约（2282元）；产权：商住两用（50年产权）2005年建；类型：公寓 板楼 低层/共27层；装修：精装修朝南；,108,88.0,16000,2室1厅1卫,55.0,南,低层/共27层,精装修,50年,2005年,华南城 精装公寓单价  16800元/平面积：约46-56平方总额：约80万至100万首付40万  轻松得两房现房不限购不限贷户户通燃气精装公寓交楼地铁口物业华南CBD中心平湖门户标杆华南城中心物业双层中空L&E玻璃3.2米层高通透大气四酒店物业标本5部通力高速电梯一站式服务2万多家商户260万方生活大城奥特莱斯/美食街/好百年购物游乐休闲餐饮商务酒店等 平湖火车站5 高速华南城1 地铁家门口,业主诚心出售，价格美丽，看房方便。欢迎实地体验看房,收取服务费：最高0元(≤0%)帮助60户买房找家的户主找到了安心舒适的房子，期待您的咨询与信任,深圳市城乡房产管理局：暂未完成认证,26.4万（月供2524元/月）,16205.0元/㎡,龙岗区－平湖,0.00元/平米/月,0.0,0.0,396套在租,2,1,1,4,3,27,3,50,2005,26,2524,16205,8,7,48,16,344,38,302,104,360,228,298,377
富力湾海景房 一次性返3年租金 送6万家私电 希尔顿酒店托管,富力湾海景房 一次性返3年租金 送6万家私电 希尔顿酒店托管;售价：46万元（9294元/㎡）；房贷：首付约14万月供约（1698元）；产权：商品房（70年产权）2013年建；类型：普通住宅 塔楼 低层/共33层；装修：精装修朝南；,18,46.0,9294,1室1厅1卫,49.49,南,低层/共33层,精装修,70年,2013年,1.本项目位于惠州巽寮湾国际度假区，紧邻惠东高铁站，范和港跨海大桥旁。2.实力开发商，质量有保障。3.占地7000万平海景大盘，大型海景度假区，每年游客近1400万人次。4.希尔顿酒店入驻，可以签约酒店管理，每月固定返租。5.精装一线海景房，度假，自然，养生，休闲，玩乐为一体。6.周边医疗，教育，购物等生活配套齐全。,在售户型一房46平，有阳台采光好一房 。50平（有阳台，采光好）一室一厅一卫 。62平（阳台大，景观好）两室两厅一卫 。83平（正规2房，有燃气，居家必备）三室两厅一卫 。111平（端头奢华户型，独立厨房）。,经纪人服务：有钥匙、免费保洁一次收取服务费：最高0元(≤0%)1.本人承诺发布的房源真实存在，专*随时可看2.此房源为一手新房，本人为项目方，可额外有99折，免拥代理，如需对比二手房本人能一步带到位一起对比3.后续流程无忧，本人全程陪同办理手续，售后无忧24h竭诚为您服务！,深圳市城乡房产管理局：暂未完成认证,13.8万（月供1321元/月）,9254.0元/㎡,深圳周边－惠州,2.30元/平米/月,1.0,45.0,2套在租,1,1,1,4,3,33,3,70,2013,13,1321,9254,12,61,376,167,209,226,380,364,17,143,251,307
地铁口无缝接驳 交楼标准实拍图片 现楼交付 即买即租！,地铁口无缝接驳 交楼标准实拍图片 现楼交付 即买即租！;售价：201.88万元（38823元/㎡）；房贷：首付约61万月供约（7477元）；产权：商品房（70年产权）2018年建；类型：普通住宅 板楼 中层/共45层；装修：精装修朝南；,34,201.88,38823,2室2厅1卫,52.0,南,中层/共45层,精装修,70年,2018年,1.精致小户型精装送设施花不多的钱购温馨小家！2.户型两房两厅一卫，位置独特，视野开阔无遮挡，空气清新，紧对花园，特别适合居家过日子。3.朝南清晨时，您站在客厅里，沐浴着旭日的光辉，精神饱满舒畅！4.小区2楼无缝连接爱联地铁站。,户型宽敞，采光好，小区安静，通风顺畅，格局方正，无任何浪费面积，让您可以充分安排您的每一份空间。,收取服务费：最高10094元(≤0.5%)【温馨提示】本人从事地产行业多年，银行贷款渠道关系已经打通，相信我，可以在批款和利息可以帮助到您。挑好房找小汪真心热情的服务只为换取您的放心。您好，我是中原置业顾问：小汪，熟悉广、深、惠、莞等新房二手房。全心服务，诚心为本，竭诚为您挑选适合您的好房源。仅需您的一个电话，随时为您服务。,深圳市城乡房产管理局：U167851256785,60.564万（月供5792元/月）,43393.0元/㎡,龙岗区－龙岗中心城,3.60元/平米/月,3.57,32.0,2151套在租,2,2,1,4,2,45,3,70,2018,60,5792,43393,8,32,241,95,128,126,22,30,6,372,351,174
龙华汽车站 高坳新村精装修两房两厅出售,龙华汽车站 高坳新村精装修两房两厅出售;售价：60.8万元（13511元/㎡）；房贷：首付约18万月供约（2272元）；产权：商住两用（70年产权）2010年建；类型：公寓 null 中层/共12层；装修：精装修朝南；,107,60.8,13511,2室2厅1卫,45.0,南,中层/共12层,精装修,70年,2010年,1、房源优势:户型方正、客厅宽敞大气。2、装修情况：业主设计准备自己住的。3、户型介绍：朝南户型，格局方正，客厅宽敞舒适、阳光非常充足，每个卧室都可以放大床。4、厨房非常通风，宽敞明亮，让您和家人有足够的空间展现私家厨艺。5、社区介绍：环境优美适宜居住人文素质高物业管理完善,业主因生意资金周转 诚心出售此房 非诚勿扰 如需了解更多与我电话联系,收取服务费：最高3040元(≤0.5%)本人从事房地产多年，公司有大量好房源，欢迎进入我的店铺查看，欢迎随时电话咨询，相信我的专业，为您置业安家保驾护航。,深圳市城乡房产管理局：暂未完成认证,18.24万（月供1745元/月）,10585.0元/㎡,龙华新区－龙华,0.00元/平米/月,0.0,0.0,1452套在租,2,2,1,4,2,12,3,70,2010,18,1745,10585,10,2,225,100,339,40,32,296,172,102,103,335
深圳北民治笋盘 业主出国降价15万急售 可过户精装大2房,深圳北民治笋盘 业主出国降价15万急售 可过户精装大2房;售价：95万元（15833元/㎡）；房贷：首付约28万月供约（3556元）；产权：商品房（70年产权）2013年建；类型：普通住宅 板楼 中层/共12层；装修：精装修朝南；,59,95.0,15833,2室2厅1卫,60.0,南,中层/共12层,精装修,70年,2013年,1、房源优势:户型方正、客厅宽敞大气。2、装修情况：业主之前自己住的，精装修提包入住。3、户型介绍：朝南户型，格局方正，客厅宽敞舒适、阳光充足，卧室搭配的很新颖。4、厨房通风，宽敞明亮，让您和人有足够的空间展现私厨艺。5、社区介绍：环境优美适宜人文素质高物业管理完善。,房东置换，诚心出售，欢迎看房，随时恭候您的到来。,经纪人服务：有钥匙收取服务费：最高4750元(≤0.5%)服务保证：【房源真实】：我们房源所展示的价格真实，低于这价格为虚假。每个楼盘的价格都在房管局的把控范围内，购买价格都是以房管局的备案价为准。【售后服务】：保证提供客户服务，耐心负责的帮客户操作手续。帮助客户解决后续疑难杂症，做一单生意便结识一个朋友。【服务理念】：拒绝发布虚假房源信息来诱导客户，禁止对客户有不良好的服务态度。必须陪同解决客户的后期手续。,深圳市城乡房产管理局：暂未完成认证,28.5万（月供2727元/月）,11006.0元/㎡,龙华新区－民治,0.00元/平米/月,0.0,0.0,619套在租,2,2,1,4,2,12,3,70,2013,28,2727,11006,10,9,99,225,40,339,103,296,102,172,32,36
次新青春社区，未住过人适合做婚房，客抛盘近期必出,次新青春社区，未住过人适合做婚房，客抛盘近期必出;售价：685万元（93835元/㎡）；房贷：首付约205万月供约（25475元）；产权：商品房（70年产权）2007年建；类型：普通住宅 塔楼 中层/共47层；装修：精装修朝东南；,159,685.0,93835,3室2厅1卫,73.0,东南,中层/共47层,精装修,70年,2007年,房源亮点：宝能城花园位于南方科技大学对面，深圳大学总医院附近，与地铁5号线塘朗站接驳，集酒店、住宅、商业为一体的大型综合体，配套日趋成熟，交通方便，社区完善，高。户型简介：房子户型方正，中间楼层朝南向，三房两厅一卫户型。装修描述：房子开发商统一精装修，中央空调，卧室铺的地木板，装修的很不错，设计合理。,业主自己就是客，现在需要资金周转，还有一套四房都在卖，能卖一套就留一套,收取服务费：最高68500元(≤1.0%)如果这套房源不合适您，可以点击我的头像，欢迎来电通知，我们还有更多的房源可以给您提供参考，大学生团队竭诚为您服务。团队介绍：乐有家是中国规模、大品牌的房地产经纪公司之一，我们拥有丰富的资源。公司一直秉承阳光透明，真诚服务”的理念为客户提供真心服务。,深圳市城乡房产管理局：暂未完成认证,205.5万（月供19658元/月）,96296.0元/㎡,南山－大学城,4.90元/平米/月,4.9,20.0,1940套在租,3,2,1,9,2,47,3,70,2007,205,19658,96296,11,12,245,259,184,4,3,262,33,28,41,287
沙井地.铁.口800米，中心地段商业配套齐全，精装两房,沙井地.铁.口800米，中心地段商业配套齐全，精装两房;售价：70万元（11475元/㎡）；房贷：首付约20万月供约（2654元）；产权：商品房（70年产权）2010年建；类型：普通住宅 板楼 中层/共8层；装修：精装修朝南；,54,70.0,11475,2室2厅1卫,61.0,南,中层/共8层,精装修,70年,2010年,1.房子是高性价比两房两厅 ，格局一点都没有浪费空间，得房率较高。2.家电齐全，宽敞明亮，布局大方，采光好。3.小区配套成熟入住率高，环境优美，宁静和谐，好环境总会给人带来好心情。4.公交地铁十分方便，出行方便，上下班方便。5.周边配套设施齐全，超市、银行、医院、学校，一应俱全，满足您的生活所需。,房东是一手买来的，保养得非常不错。房东因为生意的原因需要现金周转，诚心出售此物业。看房方便，价格还可以再谈。请提前电话或者短信预约！谢谢。,经纪人服务：免费保洁一次、有钥匙收取服务费：最高3500元(≤0.5%)本人从业多年，对深、惠、莞等新房二手房都比较熟悉。各方面都有渠道，多套房源供您选择，严格把控看房买房的每一个环节，全程陪同。如您对此房源不满意，请点击本人头像，进入本人店铺，更多，供您选择！我将恭候您的光临，为安家置业做一点微小的贡献。,深圳市城乡房产管理局：暂未完成认证,21万（月供2008元/月）,11514.0元/㎡,宝安－沙井,0.00元/平米/月,0.0,0.0,61套在租,2,2,1,4,2,8,3,70,2010,21,2008,11514,9,50,103,331,106,32,36,40,100,99,296,225
西乡地.铁.口 首付27万 买精装3房 产权清晰 可分期谈价,西乡地.铁.口 首付27万 买精装3房 产权清晰 可分期谈价;售价：97万元（15348元/㎡）；房贷：首付约29万月供约（3609元）；产权：商品房（70年产权）2010年建；类型：普通住宅 板楼 中层/共12层；装修：精装修朝南；,39,97.0,15348,2室2厅1卫,63.2,南,中层/共12层,精装修,70年,2010年,1.房子是高性价比两房两厅 ，格局一点都没有浪费空间，得房率较高。2.家电齐全，宽敞明亮，布局大方，采光好。3.小区配套成熟入住率高，环境优美，宁静和谐，好环境总会给人带来好心情。4.公交地铁十分方便，出行方便，上下班方便。5.周边配套设施齐全，超市、银行、医院、学校，一应俱全，满足您的生活所需。,房东因置换大房，现诚心出售此房，婚房装修，看中能谈,经纪人服务：免费保洁一次、有钥匙收取服务费：最高4850元(≤0.5%)本人从业多年，对深、惠、莞等新房二手房都比较熟悉。各方面都有渠道，多套房源供您选择，严格把控看房买房的每一个环节，全程陪同。如您对此房源不满意，请点击本人头像，进入本人店铺，更多，供您选择！我将恭候您的光临，为安家置业做一点微小的贡献。,深圳市城乡房产管理局：暂未完成认证,29.1万（月供2782元/月）,9111.0元/㎡,宝安－固戍,0.50元/平米/月,0.0,0.0,73套在租,2,2,1,4,2,12,3,70,2010,29,2782,9111,9,3,102,106,36,331,32,100,40,296,99,225
布吉关地铁口 双轨交通 精装两房 拎包入住 可分期 看房方便,布吉关地铁口 双轨交通 精装两房 拎包入住 可分期 看房方便;售价：90万元（14754元/㎡）；房贷：首付约26万月供约（3397元）；产权：商品房（70年产权）2012年建；类型：普通住宅 板楼 高层/共23层；装修：精装修朝南；,27,90.0,14754,2室1厅1卫,61.0,南,高层/共23层,精装修,70年,2012年,◇ 精装两房，坐北朝南，户型方正实用；◇ 中间楼层，通风采光好；◇ 带装修，保养很好；◇ 产权清晰，无纠纷；◇ 配有一个车位；【APP回复可能不及时，欢迎您致电或是发短信咨询，来电信息保密^_^】,小孩结婚，换大房，诚心出售，价格还有一点空间。,收取服务费：最高18000元(≤2.0%)本人从业多年，对深、惠、莞等新房二手房都比较熟悉。各方面都有渠道，多套房源供您选择，严格把控看房买房的每一个环节，全程陪同。如您对此房源不满意，请点击本人头像，进入本人店铺，更多，供您选择！我将恭候您的光临，为安家置业做一点微小的贡献。,深圳市城乡房产管理局：暂未完成认证,27万（月供2582元/月）,15170.0元/㎡,龙华新区－清湖,1.80元/平米/月,5.0,25.0,101套在租,2,1,1,4,1,23,3,70,2012,27,2582,15170,10,65,255,228,360,157,193,298,35,211,23,225
丹竹头地铁口700米 首付25万 红本过户 商业区房,丹竹头地铁口700米 首付25万 红本过户 商业区房;售价：85万元（13076元/㎡）；房贷：首付约25万月供约（3184元）；产权：商品房（70年产权）2015年建；类型：普通住宅 板楼 低层/共22层；装修：精装修朝南北；,42,85.0,13076,2室2厅1卫,65.0,北,低层/共22层,精装修,70年,2015年,①房子是高得房率的两房户型，方正实用，采光好，通风佳，视野开阔无遮挡；②房子是我带客户去看的时候拍的，从视频跟照片房中可以看出来装修保养还是不错的；③房子产权清晰，无产权纠纷；④小区离3号线丹竹头站700米，自带幼儿园，南岭小学；800米范围布吉重点中学，深圳智民外国语实验学校等，楼下有诊所、便利店、夜宵档等！离小区100米有个大型超市，120米有个肉菜综合市场满足日常居家所需。,业主诚心出售，已经委托我全权代理！手续齐全，产权清晰，看房方便，稳定签约，节省您的时间和精力！客户诚意度高可以与业主面谈！建议您实地考察,收取服务费：最高4250元(≤0.5%)本人从业多年，对深、惠、莞等新房二手房都比较熟悉。各方面都有渠道，多套房源供您选择，严格把控看房买房的每一个环节，全程陪同。如您对此房源不满意，请点击本人头像，进入本人店铺，更多，供您选择！我将恭候您的光临，为安家置业做一点微小的贡献。,深圳市城乡房产管理局：暂未完成认证,25.5万（月供2438元/月）,14036.0元/㎡,布吉－丹竹头,1.54元/平米/月,0.0,0.0,71套在租,2,2,1,8,3,22,3,70,2015,25,2438,14036,3,79,356,177,81,282,339,189,157,23,242,386
500米地铁后亭站 首付25万 红本过户 精装两房 看房方便,500米地铁后亭站 首付25万 红本过户 精装两房 看房方便;售价：77万元（10266元/㎡）；房贷：首付约23万月供约（2866元）；产权：商品房（70年产权）2011年建；类型：普通住宅 板楼 中层/共12层；装修：精装修朝南；,25,77.0,10266,2室2厅1卫,75.0,南,中层/共12层,精装修,70年,2011年,1.房子是高性价比两房两厅 ，格局一点都没有浪费空间，得房率较高。2.家电齐全，宽敞明亮，布局大方，采光好。3.小区配套成熟入住率高，环境优美，宁静和谐，好环境总会给人带来好心情。4.公交地铁十分方便，出行方便，上下班方便。5.周边配套设施齐全，超市、银行、医院、学校，一应俱全，满足您的生活所需。,业主近几年做生意赚了大笔钱，想改善下环境，诚心出售此房,经纪人服务：免费保洁一次、有钥匙收取服务费：最高3850元(≤0.5%)本人从业多年，对深、惠、莞等新房二手房都比较熟悉。各方面都有渠道，多套房源供您选择，严格把控看房买房的每一个环节，全程陪同。如您对此房源不满意，请点击本人头像，进入本人店铺，更多，供您选择！我将恭候您的光临，为安家置业做一点微小的贡献。,深圳市城乡房产管理局：暂未完成认证,23.1万（月供2208元/月）,10886.0元/㎡,深圳周边－东莞,1.20元/平米/月,3.0,30.0,10套在租,2,2,1,4,2,12,3,70,2011,23,2208,10886,12,36,102,103,36,331,40,100,189,296,273,193
大笋盘，12号线怀德站，万福人家，方正三房，业主换房急卖,大笋盘，12号线怀德站，万福人家，方正三房，业主换房急卖;售价：380万元（36889元/㎡）；房贷：首付约114万月供约（14117元）；产权：商品房（70年产权）2004年建；类型：普通住宅 板塔结合 中层/共12层；装修：豪华装修朝南；,15,380.0,36889,3室2厅2卫,103.01,南,中层/共12层,豪华装修,70年,2004年,小区在福永万福广场的后面，小区环境优美，采用江南水乡风格，小区设有老人的健身器材和小孩游乐园，还有一个大泳池，周边的配套有各大型商场、酒店、中小学校、各大银行，生活配套都很齐全,户型方正，精装修3房2厅2卫，带独立阳台；房子现在是满5年了，深圳只有一套住宅，红本在手的；房子现在是学位没用过，可以申请上学的,经纪人服务：有钥匙、免费保洁一次收取服务费：最高19000元(≤0.5%)本人从事房地产行业3年，熟悉深圳、东莞、惠州、中山等房源，有需要可以随时，用心帮您找到合适的房子（一手房免费专，包午餐）,深圳市城乡房产管理局：暂未完成认证,114万（月供10907元/月）,40386.0元/㎡,宝安－福永,2.40元/平米/月,2.4,35.0,200个停车位,3,2,2,4,2,12,4,70,2004,114,10907,40386,9,29,232,336,13,340,217,359,130,89,54,354
